Date,Open,High,Low,Close,Adj Close,Volume,% Change
2012-01-04T00:00:00.000,14.6428566,14.81000042,14.61714268,14.76571369,12.5165987,260022000,0.537408221
2012-01-05T00:00:00.000,14.81964302,14.94821358,14.73821354,14.92964268,12.65555668,271269600,1.110200218
2012-01-06T00:00:00.000,14.991786,15.09821415,14.97214317,15.08571434,12.78785419,318292800,1.0453811
2012-01-09T00:00:00.000,15.19642925,15.27678585,15.04821396,15.0617857,12.7675724,394024400,-0.158617893
2012-01-10T00:00:00.000,15.21107101,15.21428585,15.05357075,15.11571407,12.81328392,258196400,0.358047687
2012-01-11T00:00:00.000,15.09571362,15.10178566,14.97535706,15.09107113,12.79239368,215084800,-0.163028648
2012-01-12T00:00:00.000,15.08142853,15.10357094,14.9553566,15.04964256,12.75727844,212587200,-0.274523694
2012-01-13T00:00:00.000,14.98928642,15.01607132,14.95214272,14.99321365,12.709445,226021600,-0.374951824
2012-01-17T00:00:00.000,15.14999962,15.21392918,15.10571384,15.16785717,12.85748386,242897200,1.1648171
2012-01-18T00:00:00.000,15.2485714,15.33821392,15.22500038,15.32535744,12.99099445,276791200,1.038381792
2012-01-19T00:00:00.000,15.36250019,15.40607071,15.23250008,15.27678585,12.94982147,261738400,-0.316936077
2012-01-20T00:00:00.000,15.26749992,15.2678566,14.99107075,15.01071358,12.72427845,413974400,-1.741677051
2012-01-23T00:00:00.000,15.09535694,15.30178642,15.08214283,15.26464272,12.93952751,306062400,1.691652678
2012-01-24T00:00:00.000,15.18214321,15.18214321,14.98392868,15.01464272,12.72760773,547638000,-1.63777171
2012-01-25T00:00:00.000,16.22999954,16.23035622,15.84749985,15.95214272,13.5223093,958314000,6.243904819
2012-01-26T00:00:00.000,16.01285744,16.0282135,15.82642937,15.87964344,13.46085167,323985200,-0.454479856
2012-01-27T00:00:00.000,15.86928558,16.01714325,15.84892941,15.97428608,13.54107666,299709200,0.595999775
2012-01-30T00:00:00.000,15.91821384,16.21071434,15.90678596,16.17892838,13.71455002,379341200,1.281073187
2012-01-31T00:00:00.000,16.27107048,16.36571312,16.18107033,16.30285645,13.81960297,391683600,0.765984416
2012-02-01T00:00:00.000,16.37178612,16.39249992,16.26964378,16.29249954,13.81082058,270046000,-0.06352815
2012-02-02T00:00:00.000,16.28214264,16.32749939,16.21357155,16.25428581,13.77843189,186796400,-0.234547988
2012-02-03T00:00:00.000,16.33214378,16.4285717,16.27000046,16.41714287,13.91648006,286599600,1.001933014
2012-02-06T00:00:00.000,16.37071419,16.60642815,16.36428642,16.57035637,14.04635811,249412800,0.933253138
2012-02-07T00:00:00.000,16.6160717,16.7767868,16.59214211,16.74392891,14.19348621,316223600,1.047488276
2012-02-08T00:00:00.000,16.8035717,17.0282135,16.77499962,17.02428627,14.43113899,407890000,1.674382174
2012-02-09T00:00:00.000,17.17000008,17.7410717,17.16285706,17.61321449,14.93036747,884214800,3.459341633
2012-02-10T00:00:00.000,17.5342865,17.77214241,17.44821358,17.62214279,14.93793201,631302000,0.050690911
2012-02-13T00:00:00.000,17.84035683,17.99392891,17.75321388,17.95000076,15.21584892,517216000,1.860488676
2012-02-14T00:00:00.000,18.02357101,18.19857025,17.9285717,18.19499969,15.42353153,460398400,1.364896498
2012-02-15T00:00:00.000,18.36642838,18.7960701,17.74607086,17.7739296,15.06660557,1506120000,-2.314207782
2012-02-16T00:00:00.000,17.5535717,18.03178596,17.37964249,17.9360714,15.20405006,944552000,0.912245089
2012-02-17T00:00:00.000,17.96821404,18.13464355,17.86785698,17.93285751,15.20131969,535805200,-0.017918542
2012-02-21T00:00:00.000,18.10285759,18.38750076,18.00428581,18.38750076,15.58671379,605595200,2.535252673
2012-02-22T00:00:00.000,18.32428551,18.41035652,18.18107033,18.3228569,15.53191757,483302400,-0.351564145
2012-02-23T00:00:00.000,18.39571381,18.49392891,18.1964283,18.44249916,15.63333321,568027600,0.652967266
2012-02-24T00:00:00.000,18.55964279,18.67499924,18.52285767,18.65749931,15.81558037,415072000,1.16578643
2012-02-27T00:00:00.000,18.61821365,18.875,18.43857193,18.77714348,15.91700363,547582000,0.641265815
2012-02-28T00:00:00.000,18.8557148,19.12178612,18.78035736,19.12178612,16.20915413,600387200,1.835437001
2012-02-29T00:00:00.000,19.34142876,19.55750084,19.13214302,19.37285614,16.42198372,952011200,1.313005077
2012-03-01T00:00:00.000,19.57749939,19.5789299,19.24178505,19.44535637,16.48343849,683270000,0.374236139
2012-03-02T00:00:00.000,19.43714333,19.52857018,19.37571335,19.47071457,16.50493431,431712400,0.130407484
2012-03-05T00:00:00.000,19.47928619,19.55285645,18.7857132,19.04142952,16.14103317,809124400,-2.204772957
2012-03-06T00:00:00.000,18.70214272,19.06035614,18.43642807,18.93785667,16.0532341,810238800,-0.54393419
2012-03-07T00:00:00.000,19.17142868,19.20642853,18.68928528,18.95321465,16.06625557,798520800,0.08109667
2012-03-08T00:00:00.000,19.09607124,19.39249992,19.00428581,19.35678673,16.40835571,516457200,2.12930677
2012-03-09T00:00:00.000,19.4360714,19.56214333,19.39678574,19.47035789,16.50462723,418919200,0.58672531
2012-03-12T00:00:00.000,19.60642815,19.7142868,19.5357132,19.7142868,16.71140099,407282400,1.252821908
2012-03-13T00:00:00.000,19.91214371,20.29214287,19.8482132,20.28928566,17.19881821,690855200,2.9166607
